delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
ROBOS DIVERSOS,CELAYA,2021,ENERO,7,LAS FLORES,CALLE HELIOTROPO,SIN VIOLENCIA,-100.815822,20.5027258
OTROS DELITOS,CELAYA,2021,ENERO,3,CANTARRANAS,PASEO DE LA CAPILLA,,-100.8395773,20.5541619
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,2,LA LUZ,CALLE INSURGENTES,SIN VIOLENCIA,-100.8469418,20.5397171
OTROS DELITOS,CELAYA,2021,ENERO,2,ALAMEDA,CALLE GUADALUPE VICTORIA,,-100.8125696,20.5178873
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,2,LA RESURRECCION,CALLE JOSÉ MARÍA PINO SUÁREZ,SIN VIOLENCIA,-100.8089975,20.5159426
LESIONES DOLOSAS,CELAYA,2021,ENERO,7,CAPITALES DE EUROPA,CALLE JAIME NUNÓ,,-100.8122701,20.5117582
OTROS DELITOS,CELAYA,2021,ENERO,7,VILLA LOS ARCOS,NO CATALOGADO,,-100.8226781,20.491849
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,8,DE SANTIAGUITO,CALLE HERMENEGILDO GALEANA,,-100.8203922,20.5264936
HOMICIDIO DOLOSO,CELAYA,2021,ENERO,7,LA MACHUCA,CALLE BENITO JUÁREZ,,-100.7491497,20.4688429
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,10,ROSA LINDA,CALLE MONTES URALES,CON VIOLENCIA,-100.8350777,20.5150622
ROBOS DIVERSOS,CELAYA,2021,ENERO,9,MISION SANTA FE,CALLE HERMOSILLO,CON VIOLENCIA,-100.7933062,20.5478349
ROBOS DIVERSOS,CELAYA,2021,ENERO,10,EMILIANO ZAPATA,CALLE CARLOS M. PERALTA,SIN VIOLENCIA,-100.8003511,20.5449734
OTROS DELITOS SEXUALES,CELAYA,2021,ENERO,10,ALAMOS,CALLE GOLONDRINAS,,-100.8506784,20.5288321
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,6,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBOS DIVERSOS,CELAYA,2021,ENERO,6,SAN JOSE DE TORRES,CALLE FRANCISCO EDUARDO TRES GUERRAS,CON VIOLENCIA,-100.776057,20.5114988
AMENAZAS,CELAYA,2021,ENERO,6,EL DORADO,CALLE FRANCISCO VILLA,,-100.8093876,20.5123091
OTROS DELITOS,CELAYA,2021,ENERO,2,LOS OLIVOS,CIRCUITO VALLE CENTRAL,,-100.7703548,20.5463274
AMENAZAS,CELAYA,2021,ENERO,5,NO CATALOGADO,CALLE LOS ZENZONTLES,,-100.8245113,20.5494182
AMENAZAS,CELAYA,2021,ENERO,5,NUEVA SANTA MARIA,PENSAMIENTO,,-100.8208099,20.5005327
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,2,VILLAS DE LA HACIENDA,AVENIDA SALVADOR ORTEGA,SIN VIOLENCIA,-100.8347853,20.5511581
AMENAZAS,CELAYA,2021,ENERO,5,NUEVA SANTA MARIA,PENSAMIENTO,,-100.8208099,20.5005327
LESIONES DOLOSAS,CELAYA,2021,ENERO,5,ARREGUIN DE ABAJO,CALLE FRANCISCO VILLA,,-100.752783,20.5734177
LESIONES DOLOSAS,CELAYA,2021,ENERO,5,LUIS DONALDO COLOSIO,AVENIDA LUIS DONALDO COLOSIO,,-100.7646251,20.5677765
DAÑOS,CELAYA,2021,ENERO,5,DEL PARQUE,CALLE PARQUE DE LA MARGARITA,,-100.8275609,20.5392901
OTROS DELITOS,CELAYA,2021,ENERO,5,TIERRA Y LIBERTAD,CALLE JOSÉ NATIVIDAD MACÍAS,,-100.8042749,20.5416147
FALSEDAD ANTE UNA AUTORIDAD,CELAYA,2021,ENERO,8,ALAMOS,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,,-100.8319831,20.5540478
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,9,SAN JUANICO,CALLE ALUNITA,SIN VIOLENCIA,-100.8399678,20.5365535
SECUESTRO,CELAYA,2021,ENERO,9,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
DAÑOS,CELAYA,2021,ENERO,7,SAN ROMAN,CAMINO A SAN JOSÉ DE GUANAJUATO,,-100.8447912,20.5333024
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,6,EL DORADO,CALLE FRANCISCO VILLA,,-100.8093876,20.5123091
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,6,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA,-100.8130637,20.5196199
ROBOS DIVERSOS,CELAYA,2021,ENERO,2,MISION SANTA FE,PROLONGACIÓN AURELIO BONILLA,SIN VIOLENCIA,-100.7920232,20.5476374
ROBOS DIVERSOS,CELAYA,2021,ENERO,9,EMILIANO ZAPATA,CALLE ALFONSO MIRANDA,CON VIOLENCIA,-100.7942054,20.5438678
AMENAZAS,CELAYA,2021,ENERO,9,HACIENDA NATURA,NO CATALOGADO,,-100.8599635,20.555039
OTROS DELITOS,CELAYA,2021,ENERO,9,CASCO VIEJO,CIRCUITO DEL CASCO,,-100.8162652,20.5752586
AMENAZAS,CELAYA,2021,ENERO,9,LAS FLORES,CALLE AZUCENA,,-100.8161644,20.5041964
"ALLANAMIENTO DE MORADA, DE DOMICILIO DE PERSONAS JURIDICAS COLECTIVAS Y DE ESTABLECIMIENTOS ABIERTOS AL PUBLICO",CELAYA,2021,ENERO,9,CASCO VIEJO,CIRCUITO DEL CASCO,,-100.8162652,20.5752586
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,9,DEL ZAPOTE,CALLE ACAPULCO,,-100.8059702,20.523401
ROBOS DIVERSOS,CELAYA,2021,ENERO,9,LOS VEINTE,CALLE HÉROE DE NACOZARI,SIN VIOLENCIA,-100.8056703,20.5318438
OTROS DELITOS,CELAYA,2021,ENERO,9,ROQUE,CALLE HIDALGO,,-100.8374316,20.5808398
OTROS DELITOS,CELAYA,2021,ENERO,9,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
FRAUDE,CELAYA,2021,ENERO,7,LOS OLIVOS,AVENIDA PASEO DE LOS OLIVOS,,-100.7721702,20.5461474
ROBO A NEGOCIO,CELAYA,2021,ENERO,6,ALAMOS,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,CON VIOLENCIA,-100.8319831,20.5540478
AMENAZAS,CELAYA,2021,ENERO,5,EMILIANO ZAPATA,CALLE HERIBERTO JARA,,-100.7994102,20.5414821
OTROS DELITOS,CELAYA,2021,ENERO,5,SAN JOSE DE GUANAJUATO,CALLE PINO SUÁREZ,,-100.8924262,20.5546875
HOMICIDIO DOLOSO,CELAYA,2021,ENERO,5,LOS OLIVOS,CIRCUITO AMBATO,,-100.7721261,20.5465114
ABUSO DE CONFIANZA,CELAYA,2021,ENERO,6,MORADAS DE SILVA,EJE NORTE ORIENTE,,-100.7793183,20.5470084
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,7,EL PUESTO,PRIVADA RICARDO JUÁREZ INDA,SIN VIOLENCIA,-100.8297222,20.4691666
ROBOS DIVERSOS,CELAYA,2021,ENERO,7,LOS OLIVOS SEGUNDA SECCION,CALLE BALEARES,CON VIOLENCIA,-100.7718166,20.5518247
OTROS DELITOS,CELAYA,2021,ENERO,5,LA HERRADURA,AUTOPISTA CELAYA-QUERÉTARO,,-100.7784915,20.5533593
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,5,LA AURORA,CALLE GALEANA,SIN VIOLENCIA,-100.8273076,20.527098
LESIONES DOLOSAS,CELAYA,2021,ENERO,5,VILLAS VICENZA,CALLE SILVANO RAMOS,,-100.8140183,20.5347539
ROBO A NEGOCIO,CELAYA,2021,ENERO,5,ALAMOS,CALLE GOLONDRINAS,CON VIOLENCIA,-100.8506784,20.5288321
OTROS DELITOS,CELAYA,2021,ENERO,4,LOS PINOS,AVENIDA JUAN JOSÉ TORRES LANDA,,-100.8424641,20.5403898
AMENAZAS,CELAYA,2021,ENERO,2,DEL BOSQUE,CALLE CACAO,,-100.795865,20.5028496
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,9,VALLE HERMOSO,CALLE DALIA,SIN VIOLENCIA,-100.8227356,20.5410326
ROBOS DIVERSOS,CELAYA,2021,ENERO,8,VALLE HERMOSO,CALLE AZALEA,SIN VIOLENCIA,-100.8215506,20.5424542
AMENAZAS,CELAYA,2021,ENERO,8,SAN JUANICO,CALLE TURMALINA,,-100.837966,20.540696
AMENAZAS,CELAYA,2021,ENERO,8,DEL ZAPOTE,CALLE ACAPULCO,,-100.8059702,20.523401
ROBO A NEGOCIO,CELAYA,2021,ENERO,8,VALLE HERMOSO,AVENIDA TECNOLÓGICO,CON VIOLENCIA,-100.8208148,20.5424794
ROBOS DIVERSOS,CELAYA,2021,ENERO,8,NO CATALOGADO,NO CATALOGADO,CON VIOLENCIA,-100.8212707,20.519439
OTROS DELITOS,CELAYA,2021,ENERO,6,NUEVA SANTA MARIA,PENSAMIENTO,,-100.8208099,20.5005327
